Activity,Count,Total Time (seconds)
waking up and completing her morning routine,360,3600
waking up and getting out of bed,30,300
stretching and doing some light exercises,60,600
taking a shower and getting dressed,120,1200
making breakfast,90,900
eating breakfast,60,600
turning on the lights and unlocking the doors to the cafe,30,300
checking the inventory and restocking any items that are low,60,600
preparing the coffee machine and making sure it is clean and ready for use,60,600
"setting up the counter with menus, napkins, and other necessary items",60,600
turning on the TV and adjusting the volume to a comfortable level for customers,30,300
checking the temperature of the cafe and adjusting the furnace if needed,30,300
greeting customers and taking their orders,180,1800
making coffee and other drinks for customers,180,1800
serving food and drinks to customers,180,1800
cleaning and restocking the counter area,180,1800
chatting with customers and making them feel welcome,570,5700
taking a short break to stretch and relax,60,600
checking inventory and making a list of items to restock,390,3900
preparing her lunch,60,600
heating up her lunch in the microwave,30,300
setting up her lunch at a table in the cafe,30,300
checking her phone for any urgent messages,30,300
eating her lunch,210,2100
taking orders from customers,120,1200
preparing and serving drinks,90,900
taking payments and giving change,120,1200
restocking supplies,120,1200
cleaning and wiping down tables,90,900
taking a short break to eat lunch,90,900
checking and responding to emails and messages,120,1200
preparing and serving food items,180,1800
cleaning and organizing the counter area,90,900
checking inventory and restocking items,120,1200
preparing for closing by cleaning and organizing the cafe,180,1800
turning off the furnace and TV,30,300
closing the cafe and locking up,30,300
closing the cash register and counting the money,30,300
wiping down the counter and tables,60,600
restocking the coffee beans and other supplies,150,1500
checking on the customers and chatting with them,120,1200
taking a short break to drink some water and stretch,60,600
checking her phone for any important messages or emails,30,300
preparing drinks and food orders,120,1200
serving customers their orders,90,900
cleaning and restocking the counter,60,600
cleaning and wiping down the counter,60,600
counting the cash register and recording the sales for the day,150,1500
turning off the lights and locking the doors,60,600
setting the alarm system,30,300
turning off the furnace,30,300
checking the TV to make sure it is turned off,30,300
putting away any leftover food or drinks,90,900
cleaning and closing the cafe counter,90,900
counting the cash register and recording the day's sales,150,1500
checking the furnace and turning it off if it's still on,30,300
checking the TV and turning it off if it's still on,30,300
cleaning and organizing the tables and chairs,60,600
closing up the cafe and locking the doors,30,300
turning off the lights and appliances in the cafe,60,600
cleaning and organizing the cafe for the next day,120,1200
turning off the TV in the cafe,30,300
closing the cafe and locking the doors,60,600
turning off the furnace in the cafe,30,300
cleaning and tidying up the cafe,150,1500
sleeping,1,10
