Activity,Count,Total Time (seconds),Category
doing light stretches and taking her medication,360,3600,Personal care activities
making herself a cup of tea,30,300,Household activities
finding a comfortable spot to sit and relax,30,300,Leisure and sports
turning on her favorite music,30,300,Leisure and sports
closing her eyes and taking deep breaths,120,1200,Personal care activities
sipping her tea and enjoying the music,60,600,Eating and drinking
reflecting on her day ahead,60,600,Personal care activities
checking her schedule for the day,30,300,Working and work-related
making a mental to-do list,30,300,Personal care activities
finishing her tea and getting up to start her day,30,300,Household activities
making a cup of tea,90,900,Household activities
finding a comfortable spot to sit,60,600,Leisure and sports
picking out a book to read,60,600,Leisure and sports
reading the book,540,5400,Leisure and sports
taking a break and stretching,180,1800,Leisure and sports
continuing to read the book,270,2700,Leisure and sports
turning on the furnace and TV in the Cafe,30,300,Working and work-related
preparing the cash register for the day,60,600,Working and work-related
wiping down the counter and tables,150,1500,Working and work-related
restocking the display case with pastries,120,1200,Working and work-related
brewing a fresh pot of coffee,60,600,Household activities
taking a break to enjoy a cup of coffee,90,900,Leisure and sports
greeting and chatting with customers,180,1800,Working and work-related
taking orders and preparing drinks,270,2700,Working and work-related
cleaning up the counter and restocking supplies,120,1200,Working and work-related
closing the cafe and turning off the furnace,60,600,Working and work-related
sitting down at a table in the cafe,30,300,Working and work-related
taking out her knitting supplies,30,300,Leisure and sports
choosing a knitting pattern,120,1200,Leisure and sports
knitting,480,4800,Leisure and sports
taking a break and drinking some water,30,300,Leisure and sports
finishing up her knitting project,30,300,Leisure and sports
turning off the furnace,60,600,Working and work-related
getting comfortable in her chair,60,600,Leisure and sports
taking a sip of her coffee,30,300,Eating and drinking
checking her phone for any messages,30,300,"Telephone calls, mail, and e-mail"
watching TV,120,1200,Leisure and sports
making herself comfortable in her favorite chair,30,300,Leisure and sports
choosing a book to read,30,300,Leisure and sports
taking a break and getting a glass of water,30,300,Leisure and sports
finding her knitting supplies,30,300,Leisure and sports
setting up her knitting area,30,300,Leisure and sports
finishing her knitting project,30,300,Leisure and sports
making herself comfortable on the couch,30,300,Leisure and sports
putting on her favorite music,30,300,Leisure and sports
letting her mind wander and relax,90,900,Leisure and sports
sipping on a cup of tea,60,600,Eating and drinking
knitting a scarf,180,1800,Leisure and sports
taking a break from knitting and stretching her hands,30,300,Leisure and sports
continuing to knit,180,1800,Leisure and sports
turning off the music and getting up from the couch,30,300,Working and work-related
putting away her knitting supplies,30,300,Leisure and sports
getting her book and reading glasses,30,300,Leisure and sports
settling into her reading spot,30,300,Leisure and sports
reading her book,180,1800,Leisure and sports
turning on the TV in the Cafe,30,300,Working and work-related
flipping through channels to find something to watch,60,600,Leisure and sports
settling on a show or movie to watch,30,300,Leisure and sports
sipping on her cup of tea,30,300,Eating and drinking
enjoying the show or movie,180,1800,Leisure and sports
finding a comfortable spot to sit and read,30,300,Leisure and sports
reading a book,180,1800,Leisure and sports
continuing to read,90,900,Leisure and sports
washing any dishes used during the day,90,900,Personal care activities
counting the cash register and recording the sales for the day,60,600,Working and work-related
turning off the lights in the cafe,60,600,Working and work-related
locking the doors and setting the alarm,30,300,Personal care activities
checking the TV to make sure it is turned off,60,600,Household activities
locking the doors of the cafe,30,300,Working and work-related
counting the cash in the register and recording it in the logbook,60,600,Working and work-related
turning off the furnace in the cafe,30,300,Working and work-related
checking the security cameras to make sure everything is secure,60,600,Working and work-related
changing into her pajamas,30,300,Personal care activities
taking her medication,30,300,Personal care activities
brushing her teeth,30,300,Personal care activities
washing her face and applying moisturizer,30,300,Personal care activities
getting into bed and turning off the lights,30,300,Working and work-related
sleeping,1,10,Personal care activities
